Headline,Ground_Truth,Zero-shot_Prediction
listen to america: a huffpost road trip,Non-Sarcastic,Non-Sarcastic
study: you have hpv,Sarcastic,Sarcastic
trump turns miners' lives into a game of russian roulette,Non-Sarcastic,Sarcastic
rupert murdoch acquires cable,Sarcastic,Non-Sarcastic
"elizabeth warren quotes taylor swift, slams trump in commencement speech",Non-Sarcastic,Non-Sarcastic
partially faded hand stamp undermining everything prosecutor says,Sarcastic,Sarcastic
coffee nail art that will perk up your monday morning,Non-Sarcastic,Non-Sarcastic
'guardians of the galaxy' hits a milestone at the box office,Non-Sarcastic,Non-Sarcastic
npr's new format to feature soft-spoken white guys,Sarcastic,Sarcastic
cindy crawford and her look-alike family show support at charity event,Non-Sarcastic,Non-Sarcastic
"chinese bomber flies around spratlys in show of force, u.s. official says",Non-Sarcastic,Non-Sarcastic
"chattanooga shooter obtained some guns legally, intended to 'murder' police: officials",Non-Sarcastic,Non-Sarcastic
monopoly player insists on being wheelbarrow,Sarcastic,Sarcastic
report: north korea just enjoys nuclear talks,Sarcastic,Sarcastic
22 terrifying and magical capabilities someone has when you fall for them,Non-Sarcastic,Non-Sarcastic
boy who asked mailman for junk mail in viral story pays kindness forward,Non-Sarcastic,Non-Sarcastic
office manager unveils new rule,Sarcastic,Sarcastic
protester heckles joe biden over son's death from brain cancer,Non-Sarcastic,Non-Sarcastic
"who wrote the beatles hit ""twist and shout""? the amazing story of bert berns",Non-Sarcastic,Non-Sarcastic
north carolina lawmakers introduce bill to repeal sweeping anti-lgbt law,Non-Sarcastic,Non-Sarcastic
here's the real reason this so-called bernie bro cried at the dnc,Non-Sarcastic,Non-Sarcastic
alcohol-themed bar opens,Sarcastic,Sarcastic
"dildo manufacturers association: nation must return to normalcy, purchase dildos",Sarcastic,Sarcastic
ant colony comes to halt after death of popular worker,Sarcastic,Sarcastic
259 new objects now available in gummi form,Sarcastic,Sarcastic
plan for future still involves drumming for lifehouse,Sarcastic,Sarcastic
no one speculating about family matters series finale,Sarcastic,Sarcastic
city maoist visits country maoist,Sarcastic,Sarcastic
donald trump appoints rick santorum to catholic advisory committee,Non-Sarcastic,Non-Sarcastic
stabbing at miami's art basel gallery mistaken as performance art,Non-Sarcastic,Sarcastic
everyone on flight annoyed by screaming kid rock,Sarcastic,Sarcastic
san diego zoo acquires chinese man,Sarcastic,Sarcastic
oklahoma run 'n' gun biathlon use rainbow flag target to promote event,Non-Sarcastic,Sarcastic
parents don't remember enough colors to help with kindergartner's homework,Sarcastic,Sarcastic
silicon valley startup seeks to change the way women flee tech industry,Sarcastic,Sarcastic
helen mirren paid tribute to prince with a purple dress and a fake tattoo,Non-Sarcastic,Non-Sarcastic
frustrated wildfire spends hours stuck in l.a. traffic,Sarcastic,Sarcastic
i heard it through the grapevine: motown's prospects are looking up,Non-Sarcastic,Non-Sarcastic
trump complains entire personality rigged against him,Sarcastic,Sarcastic
lookalike couple vaguely disquieting,Sarcastic,Sarcastic
terrifying mutation killing off u.s. cabinet members one at a time,Sarcastic,Sarcastic
huffpost rise: what you need to know on december 16,Non-Sarcastic,Non-Sarcastic
"paul ryan reverses course, accepts house chaplain rescinding resignation",Non-Sarcastic,Non-Sarcastic
"colleges suspend students for sexual assault, but don't actually ban them from campus",Non-Sarcastic,Non-Sarcastic
rc car works up courage to approach group of girls,Sarcastic,Sarcastic
"charity for homeless returns martin shkreli's $15,000 donation",Non-Sarcastic,Non-Sarcastic
campus tour guide reminds students at each stop they have to get in first,Sarcastic,Sarcastic
andy samberg impaled jerry from 'parks and recreation' with an emmy,Non-Sarcastic,Sarcastic
gunman kills at least two american advisers in kabul shooting,Non-Sarcastic,Non-Sarcastic
budapest protesters fight government shutdown of soros-founded university,Non-Sarcastic,Non-Sarcastic
fbi: six dead not really 'mass' murder,Sarcastic,Sarcastic
pep-rally skit rumored to involve cross-dressing principal,Sarcastic,Sarcastic
u.s. worried about living up to netanyahu campaign promises,Sarcastic,Sarcastic
does japan need to be involved in the middle east?,Non-Sarcastic,Non-Sarcastic
senate republicans just blocked a bunch of gun control measures,Non-Sarcastic,Non-Sarcastic
u.s. tourist was detained in north korea  for leaving bible in a bathroom,Non-Sarcastic,Non-Sarcastic
the ryan fitzpatrick era must end for the new york jets,Non-Sarcastic,Non-Sarcastic
actor receives $25 million for everyman role,Sarcastic,Sarcastic
birthday cards from grandma becoming more religious,Sarcastic,Sarcastic
botanists making great strides in stem research,Sarcastic,Sarcastic
pope francis beats confession out of uncooperative catholic,Sarcastic,Sarcastic
"this ceo will send your kids to school, if you work for his company",Non-Sarcastic,Non-Sarcastic
local homemaker fights to overcome rubbermaid addiction,Sarcastic,Sarcastic
nra spokesman: a hebrew?,Sarcastic,Sarcastic
'timmy' kimmel explains how the truth works to donald trump,Non-Sarcastic,Sarcastic
federal judge tosses 'clock kid' ahmed mohamed's discrimination lawsuit,Non-Sarcastic,Non-Sarcastic
decades of hosts return for 'gma' anniversary,Non-Sarcastic,Non-Sarcastic
"someone replaced train sounds with screams, and it's genius",Non-Sarcastic,Sarcastic
trevor noah: 'moms are just like superheroes without the capes',Non-Sarcastic,Non-Sarcastic
why states are struggling to tax services,Non-Sarcastic,Non-Sarcastic
when your life clicks into place,Non-Sarcastic,Non-Sarcastic
seaworld whales demand 10 percent chum increase,Sarcastic,Sarcastic
"women in business: mollie spilman, chief revenue officer, criteo",Non-Sarcastic,Non-Sarcastic
you won't believe where this key got stuck,Non-Sarcastic,Sarcastic
kevin's addiction will surely signal new revelations about jack on 'this is us',Non-Sarcastic,Non-Sarcastic
sam bee presents horrific tales 'coming from inside the white house',Non-Sarcastic,Sarcastic
world's jews celebrate christmas with ceremonial re-murdering of christ,Sarcastic,Sarcastic
"an interview with allen iverson, the realest hall of famer",Non-Sarcastic,Non-Sarcastic
"dog, cat and squirrel drama escalates in a hurry",Non-Sarcastic,Sarcastic
conservative media throw virginia gop candidate under the bus after election loss,Non-Sarcastic,Non-Sarcastic
most americans can't afford a minor emergency,Non-Sarcastic,Non-Sarcastic
darren wilson ain't no ham sandwich: prosecutorial manipulation of a flawed grand jury system,Non-Sarcastic,Non-Sarcastic
cubans: new dictator doing it all wrong,Sarcastic,Sarcastic
every nbc program to end with character straight up asking viewers what kind of new tv shows they would like to see,Sarcastic,Sarcastic
"'amazing grace' bidding war erupts, aretha franklin lawsuit could be resolved",Non-Sarcastic,Non-Sarcastic
tony award disappoints parents even more,Sarcastic,Sarcastic
man not belonging to movie's target demographic escorted from theater by hollywood officials,Sarcastic,Sarcastic
"11 odd household objects that will intrigue you, then frustrate you beyond belief",Non-Sarcastic,Non-Sarcastic
"dozens of leads, no arrests in ferguson police shooting",Non-Sarcastic,Sarcastic
body given false hope with first piece of fruit in 9 days,Sarcastic,Non-Sarcastic
ramadan reflection day 7: prayers for the people of burma's concentration camps,Non-Sarcastic,Sarcastic
poll finds many voters would support equally unlikable third-party candidate,Sarcastic,Non-Sarcastic
powerful senate committee concludes russia tried to sow chaos in 2016 elections,Non-Sarcastic,Sarcastic
"mount vernon says it owns george washington's copy of don quixote, not glenn beck",Non-Sarcastic,Non-Sarcastic
podcast: students say 'we don't want to become robots',Non-Sarcastic,Non-Sarcastic
"man rides a horse into taco bell, and the internet is freaking out",Non-Sarcastic,Sarcastic
'teddy bear' population makes an awesome recovery,Non-Sarcastic,Sarcastic
manufacturer manufactures love to wife,Sarcastic,Sarcastic
republican congressman: the best reason to vote for my opponent is he has a hot wife,Non-Sarcastic,Sarcastic
all-business adult in halloween shop beelines it straight for pinhead mask,Sarcastic,Sarcastic
michael bloomberg states support for bloomberg politics after report he's soured on star journalists,Non-Sarcastic,Non-Sarcastic
the tragic death of alejandro nieto and san francisco's gentrification,Non-Sarcastic,Non-Sarcastic
aol acquires time-warner in largest-ever expenditure of pretend internet money,Sarcastic,Sarcastic
the gop's mexico derangement,Non-Sarcastic,Sarcastic
behold a tatted up zayn malik,Non-Sarcastic,Non-Sarcastic
the religious imagery stitched throughout the 2018 met gala,Non-Sarcastic,Non-Sarcastic
thursday's morning email: va scandal worse than previously thought,Non-Sarcastic,Non-Sarcastic
actor nils hognestad performs in front of a live audience on some assembly required,Non-Sarcastic,Non-Sarcastic
frontier mother just wants one nice family photo that doesn't end in fatality,Sarcastic,Sarcastic
boss has been riding steven van zandt's ass all day,Sarcastic,Sarcastic
weinstein scandal inspires models to share stories of abuse in their industry,Non-Sarcastic,Non-Sarcastic
"jim jeffords: a founder of the movement to expand afterschool programs, a hero to children and families",Non-Sarcastic,Non-Sarcastic
russian beef shortage traced to boris yeltsin,Sarcastic,Sarcastic
candice patton of the flash talks about meeting the fans! part ii,Non-Sarcastic,Non-Sarcastic
"d-wade, udonis haslem, and lebron opt out",Non-Sarcastic,Non-Sarcastic
how to avoid ending up in a tree in the amazon,Non-Sarcastic,Non-Sarcastic
'why did you have to wait until i resigned to let me know you appreciated me?',Non-Sarcastic,Non-Sarcastic
new orleans struck by meteorite,Sarcastic,Sarcastic
terrified laptop wakes up inside case,Sarcastic,Sarcastic
"the soft corruption of clinton, inc. -- and how it could cost democrats the presidency",Non-Sarcastic,Non-Sarcastic
man thinks he managed to masturbate without waking roommate,Sarcastic,Sarcastic
"to understand health care repeal, follow the money",Non-Sarcastic,Non-Sarcastic
hazards of the 'me' culture,Non-Sarcastic,Non-Sarcastic
netanyahu doubles down against obama with powerpoint on perils of affordable care act,Sarcastic,Sarcastic
dan fogelberg fails to soothe area lite 108 listener,Sarcastic,Sarcastic
pregnant kelly rowland glows in form-fitting gown,Non-Sarcastic,Non-Sarcastic
don't sweat the sweat stuff,Non-Sarcastic,Non-Sarcastic
guy eating pistachios and watching 'sniper' doesn't seem to be part of haunted house,Sarcastic,Sarcastic
trump and clinton characters to appear on 'american horror story',Non-Sarcastic,Sarcastic
greenpeace releases rescued dolphins into forest,Sarcastic,Sarcastic
why going abroad isn't always rainbows and butterflies,Non-Sarcastic,Non-Sarcastic
afro-brazilians demand slavery reparations because 'poverty has a color',Non-Sarcastic,Non-Sarcastic
pregnant woman glows with rage,Sarcastic,Sarcastic
specifics of hostile takeover fiercely boring,Sarcastic,Sarcastic
house gop crackdown continues,Non-Sarcastic,Non-Sarcastic
the first h&m x balmain campaign images are finally here,Non-Sarcastic,Non-Sarcastic
supreme court justice application asks for 3 sample opinions,Sarcastic,Sarcastic
"ukraine: nationalist flags, insignia and curious symbolism",Non-Sarcastic,Non-Sarcastic
report: retailers pull in $5 billion annually from women coming off street to avoid harassment,Sarcastic,Sarcastic
souls of wisdom,Non-Sarcastic,Non-Sarcastic
"despite its remoteness, antarctica's health matters",Non-Sarcastic,Non-Sarcastic
to my meant-to-bes: a letter to my failed ivf embryos,Non-Sarcastic,Non-Sarcastic
your child is born with cerebral palsy: now what?,Non-Sarcastic,Non-Sarcastic
"oregon lawmaker groped women at state capitol, report finds",Non-Sarcastic,Non-Sarcastic
james blake says cop who slammed him 'doesn't deserve' to have badge,Non-Sarcastic,Non-Sarcastic
praise tree-sus! man sees jesus in tree trunk (photo),Non-Sarcastic,Sarcastic
kim kardashian says goodbye to obama with family photo and now we're crying just like north,Non-Sarcastic,Non-Sarcastic
"joe biden on beau: 'he said it was my obligation to run, my duty'",Non-Sarcastic,Non-Sarcastic
residents describe terrifying escape from london apartment block fire,Non-Sarcastic,Non-Sarcastic
making sure internet explorer doesn't replace actual exploring,Non-Sarcastic,Sarcastic
man surprised by how often he still uses bullying skills he learned in high school,Sarcastic,Sarcastic
last officer from pearl harbor battleship uss arizona dies at 100,Non-Sarcastic,Non-Sarcastic
black fashion designers are finally getting their moment in the spotlight,Non-Sarcastic,Non-Sarcastic
mother considers son 'quite the little casanova',Sarcastic,Sarcastic
10 days that shook the regressive world,Non-Sarcastic,Non-Sarcastic
'boy meets world' spin off to focus on difficulties of raising autistic child,Sarcastic,Non-Sarcastic
tree outside window upset man just changed channel,Sarcastic,Sarcastic
national illusions and global realities,Non-Sarcastic,Non-Sarcastic
newest baywatch  cast member kicks it  with byron allen,Sarcastic,Non-Sarcastic
hunters need to start talking about guns more,Non-Sarcastic,Non-Sarcastic
america's election cycle is so scary that haunted houses are getting political,Non-Sarcastic,Sarcastic
report: obama to meet with congressional leaders on isis,Non-Sarcastic,Non-Sarcastic
trump's support for punishing qatar is misguided,Non-Sarcastic,Non-Sarcastic
ron cephas jones shares exciting details about season 2 of 'this is us',Non-Sarcastic,Non-Sarcastic
"who urges trump to expand, not repeal, obamacare",Non-Sarcastic,Non-Sarcastic
sean bean's role in 'game of thrones' was much bigger than you thought,Non-Sarcastic,Non-Sarcastic
area man meets that special someone else,Sarcastic,Sarcastic
"donald trump, we need to talk about what a poll is",Non-Sarcastic,Sarcastic
holy crap! british artist will cast your anus in bronze (nsfw),Non-Sarcastic,Sarcastic
nation confused after james comey dedicates entire memoir to in-depth retelling of martha stewart insider trading controversy,Sarcastic,Sarcastic
"a hi-tech veggie burger so good, it'll convert meat eaters",Non-Sarcastic,Non-Sarcastic
"after dark: meet kenny kenny, visual poet and nightlife icon",Non-Sarcastic,Non-Sarcastic
israeli soldiers open fire on palestinians carrying potentially dangerous injured friends,Sarcastic,Non-Sarcastic
department of housing and urban development issues report just to keep name out there,Sarcastic,Sarcastic
the 25 best women's fashion deals of the nordstrom anniversary sale under $100,Non-Sarcastic,Non-Sarcastic
here are the months college students are more likely to experiment with new drugs,Non-Sarcastic,Non-Sarcastic
woman feels like she's finally ready to start receiving unsolicited vulgar messages again,Sarcastic,Sarcastic
david letterman would like to depose donald trump and 'put him in a home',Non-Sarcastic,Sarcastic
secret service agent learning a lot from malia's '18th century european history' seminar,Sarcastic,Sarcastic
hilary duff's dating history,Non-Sarcastic,Non-Sarcastic
"would you pay $5,000 for wine and beer glasses made of cheese?",Non-Sarcastic,Sarcastic
frustrated obama writes letter to his congressman about need for gun control,Sarcastic,Sarcastic
selena gomez tears up while performing tribute to christina grimmie during concert,Non-Sarcastic,Non-Sarcastic
"god deploys 100,000 more mosquitoes to u.s.",Sarcastic,Sarcastic
small change in procedure wendy's manager's crowning achievement,Sarcastic,Sarcastic
donald trump jr.'s thanksgiving conversation starter tips spectacularly backfire,Non-Sarcastic,Sarcastic
watch: what it's like to identify as asexual,Non-Sarcastic,Non-Sarcastic
colbert is stunned speechless by trump's terrible 'birthday present' for melania,Non-Sarcastic,Non-Sarcastic
how to dress up for the holidays with stuff you already own,Non-Sarcastic,Non-Sarcastic
world will miss goal for universal education by 50 years: un,Non-Sarcastic,Non-Sarcastic
millions of kids could be at risk because of this deadly dresser,Non-Sarcastic,Non-Sarcastic
u.s. takes out key iraqi bases in midnight raid,Sarcastic,Non-Sarcastic
man visiting hometown amazed to find all his childhood insecurities still there,Sarcastic,Sarcastic
death by $15 million cuts: how a super pac took down newt gingrich,Non-Sarcastic,Non-Sarcastic
"james foley, missing american photojournalist, beheaded by isis",Non-Sarcastic,Non-Sarcastic
thandie newton recalls disgusting encounter with repulsive male director,Non-Sarcastic,Non-Sarcastic
facebook expands its legal team,Non-Sarcastic,Non-Sarcastic
anderson cooper shreds 'incoherent' trump: 'like a crazy person on a park bench',Non-Sarcastic,Sarcastic
irvin d. yalom: a conversation,Non-Sarcastic,Non-Sarcastic
nation's women not as crazy about bryan gosling,Sarcastic,Sarcastic
"study finds controlled washington, d.c. wildfires crucial for restoring healthy political environment",Sarcastic,Sarcastic
rosie perez wants to understand why anyone would vote for trump,Non-Sarcastic,Non-Sarcastic
"'holy shit, the government owes me 50 million dollars,' reports man incorrectly filling out his taxes",Sarcastic,Sarcastic
how is natural wine different from the stuff you're drinking?,Non-Sarcastic,Non-Sarcastic
terry crews reveals the text he sent to agent after he was groped,Non-Sarcastic,Non-Sarcastic
father-son duo share lessons about balancing life and technology,Non-Sarcastic,Non-Sarcastic
pristine shipment of fish product contaminated by filthy u.s. inspectors,Sarcastic,Sarcastic
"news roundup for july 12, 2017",Non-Sarcastic,Non-Sarcastic
federal prison system retires mcveigh's number,Sarcastic,Sarcastic
u.s. intensifies empty-threat campaign against north korea,Sarcastic,Sarcastic
man always carries gun in case he needs to escalate situation,Sarcastic,Sarcastic
cdc announces americans should make plans to say goodbye to loved ones,Sarcastic,Sarcastic
the snowflake's guide to staying sane in the age of you know who,Non-Sarcastic,Sarcastic
florida passes bill gutting abortion and contraception access,Non-Sarcastic,Non-Sarcastic
critics worried new cia report puts u.s. at considerable risk of transparency,Sarcastic,Sarcastic
secretary of interior announces $400 million initiative to preserve self for future generations to enjoy,Sarcastic,Sarcastic
11 things ultra-productive people do differently,Non-Sarcastic,Non-Sarcastic
snl praised for 'draw muhammad' skit,Non-Sarcastic,Non-Sarcastic
education reform and evidence,Non-Sarcastic,Non-Sarcastic
security guards chase naked usa fan around white house,Sarcastic,Sarcastic
mccain refusing to tell voters what's in box unless elected,Sarcastic,Sarcastic
eighth-grader drinks at twelfth-grade level,Sarcastic,Sarcastic
americans aren't always as divided on gun control as it seems,Non-Sarcastic,Non-Sarcastic
urban polling centers recommend voters start lining up now for 2016 election,Sarcastic,Sarcastic
lack of media interest makes genocide cover-up unnecessary,Sarcastic,Sarcastic
prime minister of  norway gets laid,Sarcastic,Sarcastic
arizona department of corrections changes menstrual pad policy following backlash,Non-Sarcastic,Non-Sarcastic
boxing coach wishes just once he could mentor someone who has already fully worked through childhood trauma,Sarcastic,Sarcastic
belgian princess damages prime minister's hearing in starter gun incident,Non-Sarcastic,Sarcastic
new michael landon biography resolves many unasked questions,Sarcastic,Sarcastic
james comey quickly reopens clinton email investigation for few more minutes,Sarcastic,Sarcastic
man shot dead by oklahoma city cop was deaf (updated),Non-Sarcastic,Non-Sarcastic
ted cruz probably can't save the gop establishment from donald trump,Non-Sarcastic,Non-Sarcastic
7 shameless ways to get an upgrade,Non-Sarcastic,Non-Sarcastic
oysters have no discernible effect on date,Sarcastic,Sarcastic
look: the magical world of tarot,Non-Sarcastic,Non-Sarcastic
isis and the g-41 world,Non-Sarcastic,Non-Sarcastic
obama to impose major new regulations on offshore drilling,Non-Sarcastic,Non-Sarcastic
you won't believe why this man's license was suspended,Non-Sarcastic,Sarcastic
big mac creator jim delligatti dies at 98,Non-Sarcastic,Non-Sarcastic
why attending a college in a big city is the fastest way to grow your career,Non-Sarcastic,Non-Sarcastic
crank caller keeps jerking local news team around,Sarcastic,Sarcastic
helpful man saves woman effort of telling idea to boss herself,Sarcastic,Sarcastic
man who keeps keys on carabiner must rappel into office building every morning,Sarcastic,Sarcastic
man calls trust fund savings,Sarcastic,Sarcastic
billionaire paul allen's yacht wrecks cayman islands coral reef,Non-Sarcastic,Non-Sarcastic
blake lively explains the touching reason she joined the women's march,Non-Sarcastic,Non-Sarcastic
ama: plastic surgery 'only a few years away' from making someone look better,Sarcastic,Sarcastic
black freshmen at university of pennsylvania receive racist messages depicting lynchings,Non-Sarcastic,Non-Sarcastic
'spongebob' fans will love this pineapple-shaped villa in punta cana,Non-Sarcastic,Non-Sarcastic
between addict and recovery: look how far you've come,Non-Sarcastic,Non-Sarcastic
esa lander prepares for historic mars landing,Non-Sarcastic,Non-Sarcastic
don't get excited about polling numbers for a couple of weeks,Non-Sarcastic,Non-Sarcastic
obama loses key potential republican ally on guantanamo bay closure,Non-Sarcastic,Non-Sarcastic
police headquarters completes new addition to accommodate officers on desk duty for misconduct,Sarcastic,Sarcastic
court rules meryl streep unable to be tried by jury as she has no peers,Sarcastic,Sarcastic
the stars bundle up in style on our cheap celebrity finds list,Non-Sarcastic,Non-Sarcastic
desperate dole promises best prom ever,Sarcastic,Sarcastic
put on your damn swimsuit,Non-Sarcastic,Non-Sarcastic
first look at the new queen elsa from 'once upon a time',Non-Sarcastic,Non-Sarcastic
these vertigo-inducing photographs will take your breath away,Non-Sarcastic,Non-Sarcastic
"mattis, tillerson want blank check to wage illegal war",Non-Sarcastic,Non-Sarcastic
bruce dern shares hilarious memory of a girthy alfred hitchcock,Non-Sarcastic,Non-Sarcastic
4 steps to a younger-looking neck,Non-Sarcastic,Non-Sarcastic
petsmart manager does morning sweep of enclosures for dead ones before opening doors for day,Sarcastic,Sarcastic
mall santa crying hysterically in photo with toddler,Sarcastic,Sarcastic
nicolas cage helps raise awareness about missing ohio teen,Non-Sarcastic,Non-Sarcastic
everyone but you attending some important meeting in other room,Sarcastic,Sarcastic
7 strategies for lasting fat loss,Non-Sarcastic,Non-Sarcastic
trump jokes about fate of vulnerable gop senator during health care talks,Non-Sarcastic,Non-Sarcastic
gallup poll: rural whites prefer ahmadinejad to obama,Sarcastic,Sarcastic
50 best workplaces for diversity,Non-Sarcastic,Non-Sarcastic
craig hicks indicted,Non-Sarcastic,Non-Sarcastic
all flights grounded after faa officials suddenly realize that man was not meant to fly,Sarcastic,Sarcastic
iggy pop only one allowed in grocery store shirtless,Sarcastic,Sarcastic
i'm the crystal (and so are you): a poem for cold times,Non-Sarcastic,Non-Sarcastic
congress confused by $500 million in trump's budget allocated for 'laser stuff',Sarcastic,Sarcastic
'i love wikileaks!': trump's acceptance of russian help hides in plain sight,Non-Sarcastic,Non-Sarcastic
unencumbered by the facts...,Non-Sarcastic,Sarcastic
elvis costello poster starting to suspect it will never be framed,Sarcastic,Sarcastic
"trademarks show amazon has sights on meal-kits, 'single cow burgers' and other fast food options",Non-Sarcastic,Non-Sarcastic
encouraging new study indicates majority of u.s. students can now recognize math,Sarcastic,Sarcastic
russian bobsledder nadezhda sergeeva fails doping test,Non-Sarcastic,Non-Sarcastic
