"id","statement_full","statement_strip","statement_noise_p25","statement_noise_p50","statement_noise_p75","target","source","text_origin"
"11","Àìgbọ́fá là ń wòkè, ifá kan kòsí ní párá","Aigbofa la n woke, ifa kan kosi ni para","Àìgbofá là n wòke, ifá kan kòsí ni párá","Àigbofá là n wokè, ifa kan kosi ni párá","Àigbọfa la n woke, ifa kan kosí ni pára","non-sarcastic","Crowdsourcing","original"
"12","Ọ fẹ́ẹ́ mọ ibi tó yẹ kí o gbesí àbí?  O lè wáá gbe sími lórí","O fee mo ibi to ye ki o gbesi abi?  O le waa gbe simi lori","Ọ fẹ́ẹ́ mọ ibi tó yẹ kí o gbesí àbí?  O lè wáa gbe sími lóri","O fẹ́ẹ́ mọ ibi to yẹ ki o gbesí àbi?  O le wáa gbe sími lórí","Ọ fẹ́é mo ibi to ye ki o gbesi abí?  O lè waa gbe simi lóri","sarcastic","Crowdsourcing","original"
"13","Kò níí da fún ọmọ ìyá tí kò fẹ́ràn ara wọn","Ko nii da fun omo iya ti ko feran ara won","Kò nii da fún ọmọ ìya tí kò fẹràn ara won","Ko níí da fún omọ iya ti ko féran ara won","Ko níí da fun omo ìya ti ko féran ara won","non-sarcastic","Facebook","original"
"14","Ó bimí léèrè wípé eré wo ni ká wò, mo sì nì kó jẹ́ kí a wo wèrè","O bimi leere wipe ere wo ni ka wo, mo si ni ko je ki a wo were","Ó bimí leère wipé ere wo ni ká wo, mo si nì kó jé ki a wo wère","O bimi leère wipé ere wo ni ka wo, mo si nì kó jẹ kí a wo wère","O bimí leèrè wipe eré wo ni ka wo, mo si ni ko jẹ ki a wo were","sarcastic","Facebook","original"
"15","Má bẹ̀rù láti wà ní àtìmọ́lé, nítorí o lè pàdé olùrànlọ́wọ́ rẹ níbẹ̀, bó tilẹ̀ jẹ́ pé o máa jìyà nínú ẹ̀wọ̀n.","Ma beru lati wa ni atimole, nitori o le pade oluranlowo re nibe, bo tile je pe o maa jiya ninu ewon.","Má bẹ̀rù láti wà ní àtimọ́lé, nítorí o le pàde olùrànlọwọ́ rẹ nibẹ, bó tile jẹ́ pé o máa jìyà ninú ẹ̀wọ̀n.","Má bẹrù lati wà ni atìmólé, nítorí o lè pàdé olùranlọ́wo rẹ nibe, bó tilẹ jé pe o máa jiya ninu ẹ̀wọn.","Ma beru lati wa ni atimọle, nitori o le pade oluranlowo re nibe, bo tile jé pé o maa jìya ninú ẹwon.","sarcastic","Instagram","original"
"16","Oò ṣe kúkú lọ gbé gbogbo ẹrù rẹ kí o ṣí mọ́rí kí o máa bọ̀ nílé ọkọ tèmi?","Oo se kuku lo gbe gbogbo eru re ki o si mori ki o maa bo nile oko temi?","Oò se kukú lọ gbé gbogbo ẹrù re kí o sí mọ́rí kí o máa bò nilé ọkọ tèmi?","Oò ṣe kuku lo gbé gbogbo ẹrù re kí o sí mọrí kí o máa bọ̀ níle oko temi?","Oo se kuku lo gbe gbogbo ẹru rẹ kí o si morí kí o maa bọ nile oko temi?","sarcastic","Facebook","original"
"17","Tí o bá yá ẹnìkan lowó tí o kò sì mọ ibi tí ó wà mọ́, wá ẹnìkan tí ó sún mọ́ ọn kí o sì tún yá ìyẹn náà lówó, bó tilẹ̀ jẹ́ pé o lè má rí owó méjèèjì gbà","Ti o ba ya enikan lowo ti o ko si mo ibi ti o wa mo, wa enikan ti o sun mo on ki o si tun ya iyen naa lowo, bo tile je pe o le ma ri owo mejeeji gba","Tí o bá yá ẹnikan lowo tí o kò sì mo ibi tí ó wà mọ́, wá ẹnikan ti ó sún mọ́ ọn kí o sì tún ya ìyẹn náà lówó, bó tilẹ̀ jẹ́ pé o lè má rí owó méjèèji gba","Tí o ba ya enikan lowó ti o kò sì mọ ibi ti o wà mo, wa ẹnìkan tí o sun mó on ki o si tún ya ìyen náa lówo, bó tilẹ je pé o lè má rí owo mejèèjì gba","Tí o bá ya ẹnikan lowó ti o ko sì mo ibi ti o wa mo, wa ẹnikan ti ó sún mó on ki o sì tun ya iyen naa lowó, bo tile je pe o le ma rí owo mejèeji gba","sarcastic","Instagram","original"
"18","Ọmọ yí gọ̀, ó fi ẹnu ọ ara","Omo yi go, o fi enu o ara","Omo yí gọ, ó fi ẹnu o ara","Ọmo yí gọ̀, ó fi enu o ara","Omọ yi gò, o fi enu o ara","non-sarcastic","Crowdsourcing","original"
"19","Òṣèlú ilẹ̀ Nàìjíríà ló dára jù ní gbogbo àgbáyé!","Oselu ile Naijiria lo dara ju ni gbogbo agbaye!","Òṣèlu ilẹ̀ Naìjíríà ló dara jù ní gbogbo àgbaye!","Oṣèlú ilẹ Nàijiríà lo dara ju ní gbogbo àgbáye!","Òselú ilè Naijiría lo dara ju ni gbogbo agbaye!","sarcastic","Crowdsourcing","original"
"20","A nílo àwọn aṣojú tó kájú òṣùwọ̀n","A nilo awon asoju to kaju osuwon","A nílo awọn aṣojú tó kájú oṣùwọ̀n","A nílo awọn aṣoju to káju oṣùwọ̀n","A nilo àwon asoju to kaju osuwon","non-sarcastic","Crowdsourcing","original"
"21","Ìwúrí ńlá ni fún mi pé ààrẹ ẹgbẹ́ ọmọ Yorùbá ni ìlú Faransé wá si pápákọ̀ òfúrufú láti wá gbé mi loni ni ìlu parisi lai fun wọn asiko tó tó","Iwuri nla ni fun mi pe aare egbe omo Yoruba ni ilu Faranse wa si papako ofurufu lati wa gbe mi loni ni ilu parisi lai fun won asiko to to","Ìwúrí ńlá ni fún mi pe ààrẹ ẹgbé ọmọ Yorùba ni ìlú Faransé wá si pápákọ̀ ofurufu láti wa gbé mi loni ni ìlu parisi lai fun wọn asiko tó tó","Iwurí ńlá ni fún mi pé aàrẹ egbẹ ọmọ Yorùba ni ìlu Faransé wa si papako òfurufú láti wá gbe mi loni ni ìlu parisi lai fun wọn asiko to to","Iwuri ńla ni fun mi pe aàre ẹgbe omo Yorubá ni ilu Faranse wa si papákò ofurufu lati wa gbe mi loni ni ilu parisi lai fun won asiko to to","non-sarcastic","X","original"
"22","Awakọ̀ kan wa ọkọ̀ wọ ààrin èrò níbi tí wọn tí ń ṣ'àjọ̀dún, ọ̀pọ̀ ẹ̀mí sùn","Awako kan wa oko wo aarin ero nibi ti won ti n s'ajodun, opo emi sun","Awakọ̀ kan wa ọkò wọ ààrin èro nibi tí wọn tí n ṣ'ajọ̀dún, ọ̀pọ̀ ẹmí sùn","Awakọ kan wa oko wọ àarin èrò nibi tí wọn tí n s'àjòdun, ọ̀pò ẹmí sun","Awakọ kan wa ọkọ wo aarin ero nibi ti won ti n s'ajọdun, òpo èmi sun","non-sarcastic","BBC News","original"
"23","Gbogbo ẹ̀ka ọrọ̀ ajé, ètò ìrìnnà, iléèwòsàn, àti àwọn ilé ìtajà ló ti dẹnukọlẹ lẹ́yìn tí iná lọ ní orílẹ̀èdè méjèéjì.","Gbogbo eka oro aje, eto irinna, ileewosan, ati awon ile itaja lo ti denukole leyin ti ina lo ni orileede mejeeji.","Gbogbo ẹ̀ka ọrọ̀ aje, ètò ìrìnnà, iléèwosàn, àti àwon ilé itajà lo ti denukọle lẹ́yìn tí iná lọ ni orilèèdè méjeéjì.","Gbogbo èka ọrọ̀ ajé, eto ìrinnà, ileewosàn, ati awọn ilé itaja ló ti denukọlẹ lẹ́yin ti iná lo ni orileèdè méjeéjì.","Gbogbo eka oro aje, eto ìrinna, iléewòsàn, ati awọn ile itajà lo ti denukole lẹ́yin tí ina lọ ní orilèèdè méjeeji.","non-sarcastic","BBC News","original"
"24","Ṣé lóòtọ́ ni Gómìnà Adeleke ń gbèrò láti bẹ́ kìjà kúrò ní PDP lọ sí APC?","Se looto ni Gomina Adeleke n gbero lati be kija kuro ni PDP lo si APC?","Ṣé lóòtọ́ ni Gómìna Adeleke n gberò láti bé kìjà kúro ní PDP lọ sí APC?","Ṣe lóoto ni Gomina Adeleke ń gbèro láti bé kìja kuro ni PDP lọ sí APC?","Se loòto ni Gomina Adeleke n gbero lati be kija kurò ní PDP lo si APC?","non-sarcastic","BBC News","original"
"25","Ṣé lóòótọ́ ni pé Naijiria ti di orílẹ̀èdè ẹlẹ́gbẹ́ òṣèlú kan?","Se loooto ni pe Naijiria ti di orileede elegbe oselu kan?","Ṣe lóoótọ́ ni pe Naijiria ti di orílẹedè elẹ́gbẹ́ òsèlú kan?","Ṣe lóòóto ni pe Naijiria ti di orílẹède elẹ́gbẹ́ oṣelú kan?","Ṣe loooto ni pe Naijiria ti di orileede elegbe òselu kan?","non-sarcastic","BBC News","original"
"26","Kò ṣe é má gbọ̀ ọ́","Ko se e ma gbo o","Kò ṣe e má gbọ̀ ọ","Ko se e má gbọ ọ","Ko se é ma gbo ọ","non-sarcastic","BBC News","original"
"27","""Wọ́n fẹ́ pààyàn ni"" - BBC ṣe ìdánimọ̀ àwọn ẹ̀ṣọ́ aláàbò tó yìnbọn p'àwọn tó ṣèwọ́de tako owó orí tuntun ní Kenya","""Won fe paayan ni"" - BBC se idanimo awon eso alaabo to yinbon p'awon to sewode tako owo ori tuntun ni Kenya","""Wọ́n fẹ́ pàayàn ni"" - BBC se ìdanimọ̀ àwọn ẹ̀ṣọ́ aláàbò to yìnbọn p'àwọn tó ṣèwọ́de tako owó orí tuntun ni Kenya","""Won fẹ́ pàayàn ni"" - BBC se idánimọ̀ awọn ẹ̀sọ aláabò tó yinbọn p'awon tó sèwọ́de tako owo orí tuntun ni Kenya","""Won fe pàayàn ni"" - BBC ṣe idanimo awon ẹso alaàbo to yinbon p'àwọn to sewọde tako owo ori tuntun ní Kenya","non-sarcastic","BBC News","original"
"28","Lẹ́yìn ìsìnkú Póòpù Francis, Ìjọ Kátólíìkì kéde ọjọ́ tí wọn yóò yàn póòpù tuntun","Leyin isinku Poopu Francis, Ijo Katoliiki kede ojo ti won yoo yan poopu tuntun","Lẹ́yin isìnkú Póòpù Francis, Ìjo Kátolíìkì kéde ọjọ́ ti wọn yoò yàn póopù tuntun","Lẹ́yìn isinku Poòpù Francis, Ijo Katolíìki kéde ọjọ́ tí won yoò yan poopu tuntun","Léyin ìsinku Poopù Francis, Ìjo Katolíìki kede ọjó ti wọn yoo yan poopù tuntun","non-sarcastic","BBC News","original"
"29","NDIC bẹ̀rẹ̀ sísan owó fún àwọn tó fowópamọ́ sí Heritage Bank to kógbáwọlé","NDIC bere sisan owo fun awon to fowopamo si Heritage Bank to kogbawole","NDIC bẹ̀rẹ̀ sisan owó fún àwọn to fowópamọ́ sí Heritage Bank to kógbáwọle","NDIC bère sísan owo fún àwon tó fowópamọ si Heritage Bank to kógbáwọle","NDIC bere sisan owo fun awon to fowopamo si Heritage Bank to kogbawole","non-sarcastic","BBC News","original"
"30","Ẹsẹ̀ ẹlẹ́sẹ̀ níí gbé òkú wọ isà","Ese elese nii gbe oku wo isa","Esẹ̀ ẹlẹsẹ níí gbe òkú wọ isa","Esè ẹlesè nií gbé oku wọ isà","Ẹse ẹlesẹ̀ nii gbe oku wo isà","non-sarcastic","YouTube","original"
"31","FBI mú èèyàn 22 ní Naijiria fún ẹ̀sùn fífi àwòràn ìhòhò lu jìbìtì lórí ayélujára","FBI mu eeyan 22 ni Naijiria fun esun fifi aworan ihoho lu jibiti lori ayelujara","FBI mú eèyàn 22 ní Naijiria fún ẹ̀sùn fífi àwòràn ìhòhò lu jìbìti lórí ayélujara","FBI mú eeyàn 22 ní Naijiria fún ẹ̀sun fífi àwòran ìhòho lu jìbitì lóri ayélujára","FBI mu eeyan 22 ni Naijiria fun esun fífi aworan ihoho lu jìbitì lori ayelujara","non-sarcastic","BBC News","original"
"32","Àjọ NAPTIP dóòlà ọmọ Naijiria mẹ́sàn-an tí wọ́n fẹ́ẹ́ tàn ṣòwò ẹrú lọ si Libya","Ajo NAPTIP doola omo Naijiria mesan-an ti won fee tan sowo eru lo si Libya","Àjọ NAPTIP dóòlà ọmọ Naijiria mésàn-an tí wón feé tàn sòwo ẹrú lo si Libya","Àjo NAPTIP dóolà omọ Naijiria mẹsan-an tí won feẹ́ tàn ṣòwò erú lọ si Libya","Àjo NAPTIP doola omo Naijiria mesan-an ti won fee tan ṣowo eru lo si Libya","non-sarcastic","BBC News","original"
"33","Ìbúgbàmù Iran gbẹ̀mí èèyàn méjìdínlógún, 800 míì farapa","Ibugbamu Iran gbemi eeyan mejidinlogun, 800 mii farapa","Ibúgbamu Iran gbẹ̀mí èèyàn méjìdinlogún, 800 míì farapa","Ìbugbamù Iran gbẹ̀mi eèyàn mejìdinlógún, 800 míi farapa","Ìbúgbamù Iran gbemí eèyàn mejìdinlogun, 800 mii farapa","non-sarcastic","BBC News","original"
"34","Oyinkan Abayomi: Ajàfẹ́tọ̀ọ́ ẹni tó dá ẹgbẹ́ òṣèlú obìnrin àkọ́kọ́ sílẹ̀, tó tún jà fún ètò ẹ̀kọ́, ìṣèlú àti òmìnira obìnrin","Oyinkan Abayomi: Ajafetoo eni to da egbe oselu obinrin akoko sile, to tun ja fun eto eko, iselu ati ominira obinrin","Oyinkan Abayomi: Ajafetòọ́ ẹni tó dá ẹgbẹ́ òsèlú obìnrin àkọkọ sílẹ̀, tó tún jà fún ètò ẹ̀kó, ìṣèlú àti omìnira obìnrin","Oyinkan Abayomi: Ajàfétoọ eni to da ẹgbé òselú obinrin akọkó silè, to tún ja fún etò èko, ìselu àti omìnira obìnrin","Oyinkan Abayomi: Ajafetoo ẹni tó da egbe oselú obinrin àkọkọ sile, to tun ja fun eto ẹkó, isèlu ati ominira obinrin","non-sarcastic","BBC News","original"
"35","Bí ètò ìsìnkú Pope Francis yóò ṣe wáyé àti àwọn èèyàn tí yóò wà níbẹ̀","Bi eto isinku Pope Francis yoo se waye ati awon eeyan ti yoo wa nibe","Bí ètò ìsìnkú Pope Francis yóò ṣe wáyé ati àwọn èeyàn tí yóò wà níbè","Bí etò ìsìnkú Pope Francis yoo se waye àti àwọn èeyàn ti yóò wa nibẹ","Bí eto isìnku Pope Francis yoo se wáye ati awon eeyan ti yoo wa nibẹ","non-sarcastic","BBC News","original"
"36","NiMET dá ìyanṣẹ́lódì dúró, fún ìjọba ní gbèdéke láti dáhùn àwọn ìbéèrè wọn","NiMET da iyanselodi duro, fun ijoba ni gbedeke lati dahun awon ibeere won","NiMET dá ìyansélódì dúro, fún ìjoba ní gbèdeke láti dáhùn àwọn ìbeèrè won","NiMET dá iyanṣelodi dúró, fún ìjọba ni gbedeke láti dahun awọn ìbeèrè wọn","NiMET da iyansẹlodi duro, fun ijoba ni gbedéke lati dáhùn awon ibeerè wọn","non-sarcastic","BBC News","original"
"37","Àwọn òrìṣà méje ìṣẹ̀mbáyé tó di ilẹ̀ gbogbo àgbáyé mú","Awon orisa meje isembaye to di ile gbogbo agbaye mu","Àwon òrìṣa méje iṣèmbáye tó di ilẹ̀ gbogbo àgbáyé mu","Awon òriṣa méje isèmbáyé to di ile gbogbo agbáyé mu","Awon oriṣa meje isembáye to di ilẹ gbogbo agbaye mu","non-sarcastic","BBC News","original"
"38","Alàgbà ni ọkọ mi ní ṣọ́ọ̀ṣì, wòólì ni mí fún ogún ọdún kí ń tó di Yeye Olokun - Omolara Fanimokun","Alagba ni oko mi ni soosi, wooli ni mi fun ogun odun ki n to di Yeye Olokun - Omolara Fanimokun","Alàgbà ni ọko mi ní ṣọọ̀si, wòóli ni mí fún ogún ọdún kí ń to di Yeye Olokun - Omolara Fanimokun","Alagbà ni oko mi ní ṣooṣì, woolì ni mi fun ogun odún ki ń to di Yeye Olokun - Omolara Fanimokun","Alagba ni oko mi ni sóoṣì, wòóli ni mi fun ogún odun ki n to di Yeye Olokun - Omolara Fanimokun","non-sarcastic","BBC News","original"
"39","Iléeṣẹ́ ológun bẹ̀rẹ̀ ìgbésẹ̀ ọ̀tun lóri ẹgbẹ́ agbébọn Mahmuda tó n ṣoro ní Kwara","Ileese ologun bere igbese otun lori egbe agbebon Mahmuda to n soro ni Kwara","Iléeṣé ológun bẹ̀rẹ ìgbésẹ̀ òtun lori ẹgbẹ́ agbébọn Mahmuda to n ṣoro ní Kwara","Iléeṣé ológun bẹ̀rè ìgbese otun lori ẹgbé agbebon Mahmuda tó n ṣoro ní Kwara","Ileesé ológun bẹ̀rẹ ìgbese otun lóri ẹgbẹ agbebọn Mahmuda to n ṣoro ní Kwara","non-sarcastic","BBC News","original"
"40","'Gbèsè ni mo fi tọ́ àwọn ìbejì tó gba First Class, tayọ jù lọ ní UI'","'Gbese ni mo fi to awon ibeji to gba First Class, tayo ju lo ni UI'","'Gbesè ni mo fi tó àwon ìbejì tó gba First Class, tayọ jù lọ ni UI'","'Gbèsè ni mo fi tọ àwọn ibejì to gba First Class, tayọ ju lọ ni UI'","'Gbese ni mo fi tọ awon ibeji to gba First Class, tayo ju lo ní UI'","non-sarcastic","BBC News","original"
"41","'A kàn ṣàdédé rí àwọn agbébọn tí wọ́n ṣíná ìbọn bolẹ̀, pa èèyàn mẹ́jọ, inú ìbẹ̀rù là ń gbé báyìí'","'A kan sadede ri awon agbebon ti won sina ibon bole, pa eeyan mejo, inu iberu la n gbe bayii'","'A kàn ṣàdéde rí àwọn agbébon ti wọ́n ṣína ibọn bolẹ̀, pa èeyàn mẹ́jo, inú ibẹru la n gbé báyìí'","'A kan sadédé ri awon agbebọn tí won sina ìbon bole, pa èeyàn méjo, inu iberu la ń gbé bayií'","'A kàn sadédé ri awọn agbebọn ti wón siná ìbon bole, pa èeyàn mẹ́jo, inu ìbèru là n gbé báyii'","non-sarcastic","BBC News","original"
"42","Ẹ fura o! Èèyàn 135,000 ló ní HIV l'Eko nìkan - Wo bí o ṣe lè dáàbò bo ara rẹ","E fura o! Eeyan 135,000 lo ni HIV l'Eko nikan - Wo bi o se le daabo bo ara re","Ẹ fura o! Èèyàn 135,000 ló ní HIV l'Eko nìkan - Wo bí o ṣe lè daàbò bo ara rẹ","Ẹ fura o! Èeyan 135,000 ló ni HIV l'Eko nikan - Wo bi o se lè daabo bo ara rẹ","E fura o! Eèyan 135,000 lo ni HIV l'Eko nìkan - Wo bí o se lè daabo bo ara re","non-sarcastic","BBC News","original"
"43","Báwo ni àwọn ohun èèlò ìkunjú tí ò ń lò ṣe burú sí?","Bawo ni awon ohun eelo ikunju ti o n lo se buru si?","Bawo ni àwon ohun èèlò ìkunjú tí o n lò ṣe burú sí?","Báwo ni àwon ohun eèlo ìkunjú ti o ń lò se buru sí?","Bawo ni awọn ohun eelo ikunju ti o ń lo se buru sí?","non-sarcastic","BBC News","original"
"44","Ṣé lóòótọ́ ni pé ilé ejọ̀ ní kí wọ́n fi Simon Ekpa ránṣẹ́ sí Naijiria?","Se loooto ni pe ile ejo ni ki won fi Simon Ekpa ranse si Naijiria?","Ṣé lóòotọ́ ni pé ilé ejọ̀ ní ki wọ́n fi Simon Ekpa ranṣẹ́ si Naijiria?","Sé loòóto ni pe ile ejò ní ki wón fi Simon Ekpa ránṣé sí Naijiria?","Se loòotọ ni pe ilé ejo ní kí wọ́n fi Simon Ekpa ranse si Naijiria?","non-sarcastic","BBC News","original"
"45","Ọwọ́ ọlọ́pàá tẹ àwọn tó ń fi èèyàn ṣòwò ẹrú ní Ibadan, dóòlà èèyàn 84","Owo olopaa te awon to n fi eeyan sowo eru ni Ibadan, doola eeyan 84","Ọwọ́ ọlópàa tẹ awọn tó ń fi èèyàn ṣòwo eru ní Ibadan, dóòla èèyan 84","Owọ ọlopaá te àwọn tó n fi èèyàn sowo ẹru ni Ibadan, doòlà eeyàn 84","Ọwo olopaá te àwon tó n fi eeyan ṣowo eru ni Ibadan, doòla eeyan 84","non-sarcastic","BBC News","original"
"46","Wọ́n ti sin òkú Pope Francis - Ẹ wo bí ètò ìsìnkú nàá ṣe lọ","Won ti sin oku Pope Francis - E wo bi eto isinku naa se lo","Wọ́n ti sin okú Pope Francis - Ẹ wo bi ètò ìsìnkú nàá ṣe lọ","Wọn ti sin okú Pope Francis - Ẹ wo bi etò isìnkú naa ṣe lo","Wọn ti sin oku Pope Francis - Ẹ wo bi eto isinku naa se lo","non-sarcastic","BBC News","original"
"47","Akọrin tàkasúfèé, Terry Apala, di èèrò ẹ̀wọ̀n fún ẹ̀sùn pé ó tàbùkù owó náírà","Akorin takasufee, Terry Apala, di eero ewon fun esun pe o tabuku owo naira","Akọrin tàkasúfèé, Terry Apala, di èerò èwon fun esùn pé o tàbùku owó naírà","Akorin tàkasúfèé, Terry Apala, di eerò ẹwon fún esun pe o tabùku owó naíra","Akọrin takasufee, Terry Apala, di eèro ẹwòn fun èsùn pe ó tabuku owó naira","non-sarcastic","BBC News","original"
"48","Ó sàn kí o dá ilémoṣú ju kí o máa tẹríba fọ́kùnrin lọ","O san ki o da ilemosu ju ki o maa teriba fokunrin lo","Ó sàn ki o dá ilémosú ju kí o máa teríba fókunrin lọ","O sàn kí o dá ilémoṣú ju kí o maa tẹríba fókunrin lo","O san kí o da ilémosu ju ki o máa tẹríba fokunrin lọ","sarcastic","BBC News","original"
