POLICY_NO,PRODUCT,BRANCH_NAME,REGION,ZONE_NAME,Plan,Sum_Assured,Premium,Sub_Plan,Vintage_Period
A-2008041611793,TRAVEL,Nariman Point,Mumbai I,South,Asia Standard Plan,1000000,493,Standard,9
A-2008042114706,TRAVEL,Chinchwad,ROM and Goa,South,Asia Standard Plan,1000000,411,Standard,6
A-2008042114716,TRAVEL,Chinchwad,ROM and Goa,South,Asia Standard Plan,1000000,379,Standard,6
A-2008042114732,TRAVEL,Chinchwad,ROM and Goa,South,Asia Standard Plan,1000000,411,Standard,6
A-2008042115508,TRAVEL,Pune,ROM and Goa,South,Asia Standard Plan,1000000,379,Standard,7
A-2008042923217,TRAVEL,Chennai II,Tamilnadu,South,Asia Standard Plan,1000000,300,Standard,4
A-2008042923266,TRAVEL,Chennai II,Tamilnadu,South,Asia Standard Plan,1000000,300,Standard,4
A-2008042923289,TRAVEL,Chennai II,Tamilnadu,South,Asia Standard Plan,1000000,300,Standard,4
A-2008042923302,TRAVEL,Chennai II,Tamilnadu,South,Asia Standard Plan,1000000,300,Standard,4
A-2008043024562,TRAVEL,Pune,ROM and Goa,South,Asia Standard Plan,1000000,411,Standard,7
A-2008043024802,TRAVEL,Nariman Point,Mumbai I,South,Asia Standard Plan,1000000,493,Standard,13
A-2008050327213,TRAVEL,Hyderabad I,Andhra Pradesh I,South,Asia Standard Plan,1000000,493,Standard,14
A-2008050327307,TRAVEL,Pune,ROM and Goa,South,Asia Silver Plan,1200000,567,Silver,14
A-2008050527955,TRAVEL,Pune,ROM and Goa,South,Asia Silver Plan,1200000,525,Silver,14
A-2008050629400,TRAVEL,Bangalore I,Karnatka,South,Asia Silver Plan,1200000,407,Silver,7
A-2008050832315,TRAVEL,Pune,ROM and Goa,South,Asia Silver Plan,1200000,631,Silver,21
A-2008050832384,TRAVEL,Pune,ROM and Goa,South,Asia Silver Plan,1200000,567,Silver,14
A-2008051034870,TRAVEL,Pune,ROM and Goa,South,Asia Standard Plan,1000000,379,Standard,7
A-2008051436623,TRAVEL,Vijayawada,Andhra Pradesh II,South,Asia Silver Plan,1200000,407,Silver,7
A-2008051538803,TRAVEL,Pune,ROM and Goa,South,Asia Standard Plan,1000000,493,Standard,14
A-2008051740220,TRAVEL,Mahim,Mumbai I,South,Asia Silver Plan,1200000,525,Silver,14
A-2008051740338,TRAVEL,Nariman Point,Mumbai I,South,Asia Standard Plan,1000000,493,Standard,12
A-2008051740339,TRAVEL,Mahim,Mumbai I,South,Asia Silver Plan,1200000,525,Silver,14
A-2008052344672,TRAVEL,Pune,ROM and Goa,South,Asia Standard Plan,1000000,493,Standard,14
A-2008060251652,TRAVEL,Pune,ROM and Goa,South,Asia Silver Plan,1200000,525,Silver,14
A-2008060251678,TRAVEL,Pune,ROM and Goa,South,Asia Silver Plan,1200000,407,Silver,7
A-2008060553984,TRAVEL,Pune,ROM and Goa,South,Asia Silver Plan,1200000,458,Silver,7
A-2008060554030,TRAVEL,Pune,ROM and Goa,South,Asia Silver Plan,1200000,525,Silver,14
A-2008060654584,TRAVEL,Nariman Point,Mumbai I,South,Asia Standard Plan,1000000,493,Standard,13
A-2008061259123,TRAVEL,Noida,Delhi II,North,Asia Standard Plan,1000000,493,Standard,14
A-2008071078042,TRAVEL,Mahim,Mumbai I,South,Asia Standard Plan,1000000,608,Standard,30
A-2008071580653,TRAVEL,Mahim,Mumbai I,South,Asia Standard Plan,1000000,608,Standard,30
A-2008072587626,TRAVEL,Bangalore I,Karnatka,South,Asia Standard Plan,1000000,493,Standard,8
A-2008081197870,TRAVEL,Connaught Place,Delhi II,North,Asia Silver Plan,1200000,407,Silver,6
A-2008082506834,TRAVEL,Amritsar,Punjab And Jammu  Kashmir,North,Asia Standard Plan,1000000,379,Standard,6
A-2008082607824,TRAVEL,Amritsar,Punjab And Jammu  Kashmir,North,Asia Standard Plan,1000000,0,Standard,6
A-2008082607897,TRAVEL,Amritsar,Punjab And Jammu  Kashmir,North,Asia Standard Plan,1000000,411,Standard,6
A-2008082607921,TRAVEL,Amritsar,Punjab And Jammu  Kashmir,North,Asia Standard Plan,1000000,0,Standard,6
A-2008082608373,TRAVEL,Amritsar,Punjab And Jammu  Kashmir,North,Asia Standard Plan,1000000,379,Standard,6
A-2008082709428,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Asia Silver Plan,30000,325,Silver,30
A-2008082709508,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Asia Silver Plan,30000,325,Silver,30
A-2008082709527,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Asia Silver Plan,30000,400,Silver,30
A-2008082709536,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Asia Silver Plan,30000,325,Silver,30
A-2008082709551,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Asia Silver Plan,30000,325,Silver,30
A-2008082709568,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Asia Silver Plan,30000,325,Silver,4
A-2008082709581,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Asia Silver Plan,30000,325,Silver,4
A-2008082709597,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Asia Silver Plan,30000,325,Silver,4
A-2008082709609,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Asia Silver Plan,30000,325,Silver,4
A-2008082709689,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Asia Silver Plan,30000,325,Silver,4
A-2008082709694,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Asia Silver Plan,30000,325,Silver,4
A-2008082709726,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Asia Silver Plan,30000,325,Silver,4
A-2008082709748,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Asia Silver Plan,30000,325,Silver,4
A-2008082709816,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Asia Silver Plan,30000,325,Silver,4
A-2008082709824,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Asia Silver Plan,30000,325,Silver,4
A-2008082810389,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Asia Silver Plan,30000,339,Silver,4
F-2007061242836,TRAVEL,Hyderabad I,Andhra Pradesh I,South,Family  Gold Plan,100000,720,Gold,365
F-2007072184342,TRAVEL,Cochin,Kerala,South,Family  Standard P,50000,1045,Standard,15
F-2007080807237,TRAVEL,Gurgaon,Delhi I,North,Family  Gold Plan,100000,2278,Gold,31
F-2007081010793,TRAVEL,Cochin,Kerala,South,Family  Standard P,50000,906,Standard,14
F-2007081313922,TRAVEL,Nehru Place,Delhi I,North,Family  Gold Plan,250000,1131,Gold,10
F-2007082427227,TRAVEL,Cochin,Kerala,South,Family  Gold Plan,100000,983,Gold,9
F-2007090337885,TRAVEL,Cochin,Kerala,South,Family  Standard P,50000,8998,Standard,182
F-2007090541266,TRAVEL,Andheri,Mumbai II,South,Family  Gold Plan,250000,832,Gold,365
F-2007091247333,TRAVEL,Cochin,Kerala,South,Family  Standard P,50000,1447,Standard,31
F-2007091247513,TRAVEL,Surat,Gujarat II,North,Family  Gold Plan,100000,7088,Gold,91
F-2007091248143,TRAVEL,Bharuch,Gujarat II,North,Family  Gold Plan,100000,19649,Gold,180
F-2007092258733,TRAVEL,Connaught Place,Delhi II,North,Family  Standard P,50000,5875,Standard,180
F-2007092661981,TRAVEL,Ahmedabad I,Gujarat I,North,Family  Standard P,50000,1960,Standard,365
F-2007100368475,TRAVEL,Bangalore I,Karnatka,South,Family  Standard P,50000,824,Standard,25
F-2007101176040,TRAVEL,Chandigarh,Haryana And Himachal Pradesh,North,Family  Standard P,100000,6865,Standard,181
F-2007102084591,TRAVEL,Chandigarh,Haryana And Himachal Pradesh,North,Family  Standard P,50000,3002,Standard,90
F-2007102285388,TRAVEL,Cochin,Kerala,South,Family  Gold Plan,100000,1645,Gold,30
F-2007102386587,TRAVEL,Cochin,Kerala,South,Family  Standard P,50000,1227,Standard,33
F-2007102689875,TRAVEL,Goa,ROM and Goa,South,Family  Standard P,50000,851,Standard,18
F-2007110297004,TRAVEL,Andheri,Mumbai II,South,Family  Gold Plan,250000,743,Gold,13
F-2007110397703,TRAVEL,Pune,ROM and Goa,South,Family  Standard P,50000,1108,Standard,8
F-2007110598689,TRAVEL,Surat,Gujarat II,North,Family  Gold Plan,100000,546,Gold,7
F-2007110598714,TRAVEL,Noida,Delhi II,North,Family  Gold Plan,100000,6155,Gold,91
F-2007110598717,TRAVEL,Surat,Gujarat II,North,Family  Gold Plan,100000,546,Gold,365
F-2007110598942,TRAVEL,Andheri,Mumbai II,South,Family  Standard P,2000000,1109,Standard,14
F-2007110699929,TRAVEL,Surat,Gujarat II,North,Family  Gold Plan,100000,1131,Gold,14
F-2007110701939,TRAVEL,Surat,Gujarat II,North,Family  Standard P,50000,771,Standard,7
F-2007110802074,TRAVEL,Connaught Place,Delhi II,North,Family  Standard P,2000000,12212,Standard,180
F-2007110802205,TRAVEL,Belapur,Mumbai I,South,Family  Standard P,50000,955,Standard,23
F-2007111406931,TRAVEL,Bhopal,MP And Chattishgarh,East,Family  Gold Plan,100000,1246,Gold,30
F-2007111407261,TRAVEL,Chandigarh,Haryana And Himachal Pradesh,North,Family  Standard P,50000,568,Standard,7
F-2007111810085,TRAVEL,Patiala,Punjab And Jammu  Kashmir,North,Family  Standard P,2000000,3002,Standard,87
F-2007112112711,TRAVEL,Hyderabad I,Andhra Pradesh I,South,Family  Standard P,2000000,568,Standard,7
F-2007112819327,TRAVEL,Pitampura,Delhi II,North,Family  Gold Plan,4000000,833,Gold,13
F-2007120123224,TRAVEL,Pitampura,Delhi II,North,Family  Gold Plan,4000000,4112,Gold,63
F-2007120323656,TRAVEL,Pitampura,Delhi II,North,Family  Standard P,2000000,1665,Standard,30
F-2007120627970,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Family  Standard P,2000000,1121,Standard,12
F-2007121132864,TRAVEL,Cochin,Kerala,South,Family  Gold Plan,4000000,1026,Gold,16
F-2007121334679,TRAVEL,Pitampura,Delhi II,North,Family  Gold Plan,4000000,833,Gold,8
F-2007121335640,TRAVEL,Trissur,Kerala,South,Family  Gold Plan,4000000,10028,Gold,181
F-2007122644221,TRAVEL,Noida,Delhi II,North,Family  Gold Plan,4000000,1218,Gold,14
F-2007122845652,TRAVEL,Surat,Gujarat II,North,Family  Gold Plan,4000000,1026,Gold,16
F-2008010751177,TRAVEL,Bangalore I,Karnatka,South,Family  Gold Plan,4000000,3091,Gold,91
F-2008020162300,TRAVEL,Chinchwad,ROM and Goa,South,Family  Standard P,50000,771,Standard,6
F-2008020864786,TRAVEL,Amritsar,Punjab And Jammu  Kashmir,North,Family  Standard P,2000000,768,Standard,10
F-2008021867362,TRAVEL,Anand,Gujarat II,North,Family  Gold Plan,4000000,2293,Gold,23
F-2008022770453,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Family  Standard P,2000000,768,Standard,13
F-2008030676001,TRAVEL,Chandigarh,Haryana And Himachal Pradesh,North,Family  Gold Plan,4000000,3091,Gold,91
F-2008031180765,TRAVEL,Cochin,Kerala,South,Family  Gold Plan,4000000,3312,Gold,91
F-2008031282007,TRAVEL,Pune,ROM and Goa,South,Family  Gold Plan,2012500,755,Standard,372
F-2008031282429,TRAVEL,Surat,Gujarat II,North,Family  Gold Plan,0,99,Gold,15
F-2008031383015,TRAVEL,Ludhiana,Punjab And Jammu  Kashmir,North,Family  Gold Plan,100000,744,Gold,365
F-2008031585163,TRAVEL,Trissur,Kerala,South,Family  Standard P,2000000,2097,Standard,59
F-2008031887359,TRAVEL,Chembur,Mumbai I,South,Family  Standard P,50000,4316,Standard,98
F-2008031988725,TRAVEL,Pune,ROM and Goa,South,Family  Gold Plan,4000000,1810,Gold,28
F-2008032290418,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Family  Gold Plan,4000000,1405,Gold,15
F-2008032693547,TRAVEL,Amritsar,Punjab And Jammu  Kashmir,North,Family  Gold Plan,4000000,6155,Gold,91
F-2008032795124,TRAVEL,Surat,Gujarat II,North,Family  Standard P,2000000,906,Standard,13
F-2008033197082,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Family  Gold Plan,4000000,3091,Gold,91
F-2008040502186,TRAVEL,Nariman Point,Mumbai I,South,Family  Gold Plan,4000000,2857,Gold,48
F-2008040502669,TRAVEL,Belapur,Mumbai I,South,Family  Standard P,2000000,2578,Standard,49
F-2008041107476,TRAVEL,Pune,ROM and Goa,South,Family  Gold Plan,4000000,1218,Gold,14
F-2008041207848,TRAVEL,Goa,ROM and Goa,South,Family  Gold Plan,4000000,4344,Gold,44
F-2008041208124,TRAVEL,Chandigarh,Haryana And Himachal Pradesh,North,Family  Gold Plan,4000000,1857,Gold,49
F-2008041308444,TRAVEL,Nariman Point,Mumbai I,South,Family  Standard P,2000000,906,Standard,14
F-2008041914130,TRAVEL,Hyderabad I,Andhra Pradesh I,South,Family  Standard P,2000000,4314,Standard,92
F-2008041914204,TRAVEL,Surat,Gujarat II,North,Family  Standard P,2000000,686,Standard,13
F-2008042215884,TRAVEL,Nariman Point,Mumbai I,South,Family  Standard P,2000000,906,Standard,14
F-2008042216543,TRAVEL,Borivali,Mumbai II,South,Family  Standard P,2000000,686,Standard,11
F-2008042216669,TRAVEL,Nariman Point,Mumbai I,South,Family  Standard P,2000000,1293,Standard,19
F-2008042216760,TRAVEL,Pune,ROM and Goa,South,Family  Gold Plan,4000000,2857,Gold,49
F-2008042317504,TRAVEL,Nariman Point,Mumbai I,South,Family  Standard P,2000000,1120,Standard,18
F-2008042418905,TRAVEL,Nehru Place,Delhi I,North,Family  Standard P,2000000,5303,Standard,90
F-2008042621053,TRAVEL,Nariman Point,Mumbai I,South,Family  Standard P,2000000,953,Standard,18
F-2008042721756,TRAVEL,Nariman Point,Mumbai I,South,Family  Gold Plan,4000000,1026,Gold,15
F-2008042721770,TRAVEL,Nariman Point,Mumbai I,South,Family  Standard P,2000000,953,Standard,20
F-2008042721784,TRAVEL,Nariman Point,Mumbai I,South,Family  Standard P,2000000,1043,Standard,14
F-2008042721791,TRAVEL,Nariman Point,Mumbai I,South,Family  Standard P,2000000,1043,Standard,14
F-2008042821808,TRAVEL,Nariman Point,Mumbai I,South,Family  Standard P,2000000,1293,Standard,20
F-2008042822457,TRAVEL,Surat,Gujarat II,North,Family  Standard P,2000000,953,Standard,17
F-2008043024805,TRAVEL,Nariman Point,Mumbai I,South,Family  Standard P,2000000,1419,Standard,17
F-2008050125473,TRAVEL,Jalandhar,Punjab And Jammu  Kashmir,North,Family  Gold Plan,4000000,833,Gold,365
F-2008050226246,TRAVEL,Surat,Gujarat II,North,Family  Gold Plan,4000000,1509,Gold,28
F-2008050226383,TRAVEL,Chandigarh,Haryana And Himachal Pradesh,North,Family  Gold Plan,4000000,2693,Gold,52
F-2008050326657,TRAVEL,Goa,ROM and Goa,South,Family  Gold Plan,4000000,1131,Gold,8
F-2008050327762,TRAVEL,Nariman Point,Mumbai I,South,Family  Gold Plan,4000000,1300,Gold,25
F-2008050629686,TRAVEL,Bangalore I,Karnatka,South,Family  Standard P,2000000,768,Standard,8
F-2008050832754,TRAVEL,Cochin,Kerala,South,Family  Standard P,2000000,768,Standard,10
