POLICY_NO,PRODUCT,Claim_Status
F-2008052746904,TRAVEL,No
F-2008052949091,TRAVEL,No
F-2008060251330,TRAVEL,No
F-2008060251709,TRAVEL,No
F-2008060453013,TRAVEL,No
F-2008060553596,TRAVEL,No
F-2008060856241,TRAVEL,No
F-2008060956600,TRAVEL,No
F-2008060956621,TRAVEL,No
F-2008061058022,TRAVEL,No
F-2008061460868,TRAVEL,No
F-2008061863917,TRAVEL,No
F-2008061964290,TRAVEL,No
F-2008062165960,TRAVEL,No
F-2008062166190,TRAVEL,No
F-2008062166282,TRAVEL,No
F-2008063071539,TRAVEL,No
F-2008070977002,TRAVEL,No
F-2008070977117,TRAVEL,No
F-2008071681776,TRAVEL,No
F-2008072184789,TRAVEL,No
F-2008072285252,TRAVEL,No
F-2008072688440,TRAVEL,No
F-2008072989825,TRAVEL,No
F-2008080695290,TRAVEL,No
F-2008080796300,TRAVEL,No
F-2008081298617,TRAVEL,No
F-2008081299232,TRAVEL,No
F-2008081399558,TRAVEL,No
F-2008081399611,TRAVEL,No
F-2008081400209,TRAVEL,No
F-2008081400618,TRAVEL,No
F-2008082104758,TRAVEL,No
F-2008082810301,TRAVEL,No
F-2008082810646,TRAVEL,No
F-2008083012294,TRAVEL,No
F-2008090315224,TRAVEL,No
F-2008103017934,TRAVEL,No
I-2006122318672,TRAVEL,No
I-2007041688343,TRAVEL,No
I-2007041688432,TRAVEL,No
I-2007042597301,TRAVEL,No
I-2007042698199,TRAVEL,No
I-2007042899966,TRAVEL,No
I-2007050404465,TRAVEL,No
I-2007050706590,TRAVEL,No
I-2007050706821,TRAVEL,No
I-2007051413261,TRAVEL,No
I-2007051514413,TRAVEL,No
I-2007051920023,TRAVEL,No
I-2007052323511,TRAVEL,No
I-2007052525645,TRAVEL,No
I-2007052525688,TRAVEL,No
I-2007052928716,TRAVEL,No
I-2007053130791,TRAVEL,No
I-2007053131068,TRAVEL,No
I-2007053131093,TRAVEL,No
I-2007060132774,TRAVEL,No
I-2007060233779,TRAVEL,No
I-2007061141121,TRAVEL,No
I-2007061141924,TRAVEL,No
I-2007061243120,TRAVEL,No
I-2007061647398,TRAVEL,No
I-2007062049963,TRAVEL,No
I-2007062151915,TRAVEL,No
I-2007062253267,TRAVEL,No
I-2007062555546,TRAVEL,No
I-2007062758877,TRAVEL,No
I-2007062860086,TRAVEL,No
I-2007062961265,TRAVEL,No
I-2007070365016,TRAVEL,No
I-2007070365383,TRAVEL,No
I-2007070466570,TRAVEL,No
I-2007070567741,TRAVEL,No
I-2007070669023,TRAVEL,No
I-2007070669257,TRAVEL,No
I-2007070669304,TRAVEL,No
I-2007070770590,TRAVEL,No
I-2007070971130,TRAVEL,No
I-2007070971262,TRAVEL,No
I-2007070971474,TRAVEL,No
I-2007071173524,TRAVEL,No
I-2007071174077,TRAVEL,No
I-2007071275590,TRAVEL,No
I-2007071275595,TRAVEL,No
I-2007071275754,TRAVEL,No
I-2007071376623,TRAVEL,No
I-2007071477777,TRAVEL,No
I-2007071678084,TRAVEL,No
I-2007071678673,TRAVEL,No
I-2007071779571,TRAVEL,No
I-2007071779861,TRAVEL,No
I-2007071780021,TRAVEL,No
I-2007071780058,TRAVEL,No
I-2007071982128,TRAVEL,No
I-2007071982143,TRAVEL,No
I-2007071982147,TRAVEL,No
I-2007071982148,TRAVEL,No
I-2007071982190,TRAVEL,No
I-2007071982302,TRAVEL,No
I-2007071982354,TRAVEL,No
I-2007071982478,TRAVEL,No
I-2007071982510,TRAVEL,No
I-2007072083213,TRAVEL,No
I-2007072083683,TRAVEL,No
I-2007072083766,TRAVEL,No
I-2007072083826,TRAVEL,No
I-2007072083848,TRAVEL,No
I-2007072184107,TRAVEL,No
I-2007072184185,TRAVEL,No
I-2007072184352,TRAVEL,No
I-2007072385565,TRAVEL,No
I-2007072385784,TRAVEL,No
I-2007072486744,TRAVEL,No
I-2007072486747,TRAVEL,No
I-2007072487601,TRAVEL,No
I-2007072487855,TRAVEL,No
I-2007072487974,TRAVEL,No
I-2007072588603,TRAVEL,No
I-2007072588624,TRAVEL,No
I-2007072588668,TRAVEL,No
I-2007072588920,TRAVEL,No
I-2007072589168,TRAVEL,No
I-2007072690120,TRAVEL,No
I-2007072690296,TRAVEL,No
I-2007072690309,TRAVEL,No
I-2007072690418,TRAVEL,No
I-2007072690823,TRAVEL,No
I-2007072792059,TRAVEL,No
I-2007072792084,TRAVEL,No
I-2007072792209,TRAVEL,No
I-2007072792445,TRAVEL,No
I-2007072792657,TRAVEL,No
I-2007072893086,TRAVEL,No
I-2007072893104,TRAVEL,No
I-2007072893205,TRAVEL,No
I-2007072893658,TRAVEL,No
I-2007073094229,TRAVEL,No
I-2007073094518,TRAVEL,No
I-2007073095122,TRAVEL,No
I-2007073195637,TRAVEL,No
I-2007073196027,TRAVEL,No
I-2007073196037,TRAVEL,No
I-2007073196215,TRAVEL,No
I-2007073196440,TRAVEL,No
I-2007073196447,TRAVEL,No
I-2007080196776,TRAVEL,No
I-2007080196883,TRAVEL,No
I-2007080196931,TRAVEL,No
I-2007080196973,TRAVEL,No
I-2007080196990,TRAVEL,No
I-2007080197001,TRAVEL,No
I-2007080197039,TRAVEL,No
I-2007080197046,TRAVEL,No
I-2007080197121,TRAVEL,No
I-2007080197223,TRAVEL,No
I-2007080197235,TRAVEL,No
I-2007080197251,TRAVEL,No
I-2007080197260,TRAVEL,No
I-2007080197410,TRAVEL,No
I-2007080197474,TRAVEL,No
I-2007080197571,TRAVEL,No
I-2007080197897,TRAVEL,No
I-2007080198080,TRAVEL,No
I-2007080200471,TRAVEL,No
I-2007080200586,TRAVEL,No
I-2007080298698,TRAVEL,No
I-2007080301772,TRAVEL,No
I-2007080301806,TRAVEL,No
I-2007080301973,TRAVEL,No
I-2007080402358,TRAVEL,No
I-2007080402558,TRAVEL,No
I-2007080402576,TRAVEL,No
I-2007080402621,TRAVEL,No
I-2007080403265,TRAVEL,No
I-2007080503409,TRAVEL,No
I-2007080604008,TRAVEL,No
I-2007080604019,TRAVEL,No
I-2007080604143,TRAVEL,No
I-2007080604322,TRAVEL,No
I-2007080604402,TRAVEL,No
I-2007080604418,TRAVEL,No
I-2007080604460,TRAVEL,No
I-2007080604466,TRAVEL,No
I-2007080704950,TRAVEL,No
I-2007080704966,TRAVEL,No
I-2007080704976,TRAVEL,No
I-2007080704979,TRAVEL,No
I-2007080705547,TRAVEL,No
I-2007080705552,TRAVEL,No
I-2007080705771,TRAVEL,No
I-2007080705872,TRAVEL,No
I-2007080706044,TRAVEL,No
I-2007080706093,TRAVEL,No
I-2007080706248,TRAVEL,No
I-2007080806648,TRAVEL,No
I-2007080806686,TRAVEL,No
I-2007080806809,TRAVEL,No
I-2007080806893,TRAVEL,No
I-2007080807164,TRAVEL,No
I-2007080807433,TRAVEL,No
I-2007080908146,TRAVEL,No
I-2007080908317,TRAVEL,No
I-2007080908327,TRAVEL,No
I-2007080909103,TRAVEL,No
I-2007080909410,TRAVEL,No
I-2007081010307,TRAVEL,No
I-2007081010334,TRAVEL,No
I-2007081010455,TRAVEL,No
I-2007081010638,TRAVEL,No
I-2007081011034,TRAVEL,No
I-2007081011056,TRAVEL,No
I-2007081111369,TRAVEL,No
I-2007081111639,TRAVEL,No
I-2007081111831,TRAVEL,No
I-2007081112050,TRAVEL,No
I-2007081112388,TRAVEL,No
I-2007081112435,TRAVEL,No
I-2007081112455,TRAVEL,No
I-2007081212880,TRAVEL,No
I-2007081313202,TRAVEL,No
I-2007081313274,TRAVEL,No
I-2007081313385,TRAVEL,No
I-2007081313705,TRAVEL,No
I-2007081313949,TRAVEL,No
I-2007081414893,TRAVEL,No
I-2007081414985,TRAVEL,No
I-2007081415923,TRAVEL,No
I-2007081516350,TRAVEL,No
I-2007081516356,TRAVEL,No
I-2007081616537,TRAVEL,No
I-2007081616683,TRAVEL,No
I-2007081616708,TRAVEL,No
I-2007081616792,TRAVEL,No
I-2007081616811,TRAVEL,No
I-2007081616926,TRAVEL,No
I-2007081617002,TRAVEL,No
I-2007081617226,TRAVEL,No
I-2007081617245,TRAVEL,No
I-2007081617391,TRAVEL,No
I-2007081617432,TRAVEL,No
I-2007081718115,TRAVEL,No
I-2007081718254,TRAVEL,No
I-2007081718308,TRAVEL,No
I-2007081718435,TRAVEL,No
I-2007081718506,TRAVEL,No
I-2007081718527,TRAVEL,No
I-2007081718528,TRAVEL,No
I-2007081718640,TRAVEL,No
I-2007081718770,TRAVEL,No
I-2007081718781,TRAVEL,No
I-2007081718826,TRAVEL,No
I-2007081718926,TRAVEL,No
I-2007081718941,TRAVEL,No
I-2007081718991,TRAVEL,No
I-2007081719054,TRAVEL,No
I-2007081719140,TRAVEL,No
I-2007081719175,TRAVEL,No
I-2007081719300,TRAVEL,No
I-2007081820159,TRAVEL,No
I-2007081821224,TRAVEL,No
I-2007082021349,TRAVEL,No
I-2007082021463,TRAVEL,No
I-2007082021507,TRAVEL,No
I-2007082021734,TRAVEL,No
I-2007082021874,TRAVEL,No
I-2007082021944,TRAVEL,No
I-2007082021984,TRAVEL,No
I-2007082021992,TRAVEL,No
I-2007082022012,TRAVEL,No
I-2007082022063,TRAVEL,No
I-2007082022186,TRAVEL,No
I-2007082022208,TRAVEL,No
I-2007082022210,TRAVEL,No
I-2007082022224,TRAVEL,No
I-2007082022359,TRAVEL,No
I-2007082022620,TRAVEL,No
I-2007082122820,TRAVEL,No
I-2007082122972,TRAVEL,No
I-2007082123046,TRAVEL,No
I-2007082123459,TRAVEL,No
I-2007082124150,TRAVEL,No
I-2007082224411,TRAVEL,No
I-2007082224495,TRAVEL,No
I-2007082224496,TRAVEL,No
I-2007082224498,TRAVEL,No
I-2007082224725,TRAVEL,No
I-2007082224821,TRAVEL,No
I-2007082225006,TRAVEL,No
I-2007082225610,TRAVEL,No
I-2007082325846,TRAVEL,No
I-2007082325987,TRAVEL,No
I-2007082326193,TRAVEL,No
I-2007082326205,TRAVEL,No
I-2007082326216,TRAVEL,No
I-2007082326616,TRAVEL,No
I-2007082326719,TRAVEL,No
I-2007082427291,TRAVEL,No
I-2007082427347,TRAVEL,No
I-2007082427401,TRAVEL,No
I-2007082427448,TRAVEL,No
I-2007082427528,TRAVEL,No
I-2007082427635,TRAVEL,No
I-2007082427817,TRAVEL,No
I-2007082427932,TRAVEL,No
I-2007082427946,TRAVEL,No
I-2007082427984,TRAVEL,No
I-2007082428087,TRAVEL,No
I-2007082428175,TRAVEL,No
I-2007082528693,TRAVEL,No
I-2007082528819,TRAVEL,No
I-2007082528844,TRAVEL,No
I-2007082528866,TRAVEL,No
I-2007082528875,TRAVEL,No
I-2007082529075,TRAVEL,No
I-2007082529154,TRAVEL,No
I-2007082529311,TRAVEL,No
I-2007082529333,TRAVEL,No
I-2007082529614,TRAVEL,No
I-2007082730065,TRAVEL,No
I-2007082730878,TRAVEL,No
I-2007082730900,TRAVEL,No
I-2007082730913,TRAVEL,No
I-2007082730925,TRAVEL,No
I-2007082831247,TRAVEL,No
I-2007082831258,TRAVEL,No
I-2007082831337,TRAVEL,No
I-2007082831389,TRAVEL,No
I-2007082831411,TRAVEL,No
I-2007082831472,TRAVEL,No
I-2007082831553,TRAVEL,No
I-2007082831561,TRAVEL,No
I-2007082831580,TRAVEL,No
I-2007082831622,TRAVEL,No
I-2007082932293,TRAVEL,No
I-2007082932478,TRAVEL,No
I-2007082932484,TRAVEL,No
I-2007082932515,TRAVEL,No
I-2007082932539,TRAVEL,No
I-2007082932550,TRAVEL,No
I-2007082932582,TRAVEL,No
I-2007082932589,TRAVEL,No
I-2007082932598,TRAVEL,No
I-2007082932662,TRAVEL,No
I-2007082932798,TRAVEL,No
I-2007082932876,TRAVEL,No
I-2007082933188,TRAVEL,No
I-2007083033565,TRAVEL,No
I-2007083033657,TRAVEL,No
I-2007083033883,TRAVEL,No
I-2007083033884,TRAVEL,No
I-2007083033897,TRAVEL,No
I-2007083033928,TRAVEL,No
I-2007083033978,TRAVEL,No
I-2007083034243,TRAVEL,No
I-2007083034309,TRAVEL,No
I-2007083034463,TRAVEL,No
I-2007083034870,TRAVEL,No
I-2007083135194,TRAVEL,No
I-2007083135376,TRAVEL,No
I-2007083135760,TRAVEL,No
I-2007083135928,TRAVEL,No
I-2007083135996,TRAVEL,No
I-2007083136064,TRAVEL,No
I-2007083136106,TRAVEL,No
I-2007090136492,TRAVEL,No
I-2007090136542,TRAVEL,No
I-2007090136631,TRAVEL,No
I-2007090136665,TRAVEL,No
I-2007090136755,TRAVEL,No
I-2007090136778,TRAVEL,No
I-2007090136818,TRAVEL,No
I-2007090136944,TRAVEL,No
I-2007090137013,TRAVEL,No
I-2007090137233,TRAVEL,No
I-2007090137354,TRAVEL,No
I-2007090137370,TRAVEL,No
I-2007090337582,TRAVEL,No
I-2007090337775,TRAVEL,No
I-2007090337968,TRAVEL,No
I-2007090338095,TRAVEL,No
I-2007090338102,TRAVEL,No
I-2007090338123,TRAVEL,No
I-2007090338138,TRAVEL,No
I-2007090338199,TRAVEL,No
I-2007090338246,TRAVEL,No
I-2007090338249,TRAVEL,No
I-2007090338256,TRAVEL,No
I-2007090338380,TRAVEL,No
I-2007090338399,TRAVEL,No
I-2007090338423,TRAVEL,No
I-2007090338438,TRAVEL,No
I-2007090338459,TRAVEL,No
I-2007090438942,TRAVEL,No
I-2007090439005,TRAVEL,No
I-2007090439224,TRAVEL,No
I-2007090439240,TRAVEL,No
I-2007090439255,TRAVEL,No
I-2007090439294,TRAVEL,No
I-2007090439305,TRAVEL,No
I-2007090439337,TRAVEL,No
I-2007090439399,TRAVEL,No
I-2007090439424,TRAVEL,No
I-2007090540373,TRAVEL,No
I-2007090540380,TRAVEL,No
I-2007090540394,TRAVEL,No
I-2007090540623,TRAVEL,No
I-2007090540729,TRAVEL,No
I-2007090541113,TRAVEL,No
I-2007090541222,TRAVEL,No
I-2007090641378,TRAVEL,No
I-2007090641686,TRAVEL,No
I-2007090641783,TRAVEL,No
I-2007090641833,TRAVEL,No
I-2007090641872,TRAVEL,No
I-2007090641933,TRAVEL,No
I-2007090642000,TRAVEL,No
I-2007090642107,TRAVEL,No
I-2007090642189,TRAVEL,No
I-2007090742492,TRAVEL,No
I-2007090742599,TRAVEL,No
I-2007090742707,TRAVEL,No
I-2007090742714,TRAVEL,No
I-2007090742779,TRAVEL,No
I-2007090742804,TRAVEL,No
I-2007090742829,TRAVEL,No
I-2007090742966,TRAVEL,No
I-2007090743027,TRAVEL,No
I-2007090743056,TRAVEL,No
I-2007090743138,TRAVEL,No
I-2007090743190,TRAVEL,No
I-2007090743191,TRAVEL,No
I-2007090743303,TRAVEL,No
I-2007090843505,TRAVEL,No
I-2007090843522,TRAVEL,No
I-2007090843646,TRAVEL,No
I-2007090843691,TRAVEL,No
I-2007090843745,TRAVEL,No
I-2007090843767,TRAVEL,No
I-2007090843856,TRAVEL,No
I-2007090843888,TRAVEL,No
I-2007090843901,TRAVEL,No
I-2007090844026,TRAVEL,No
I-2007090844079,TRAVEL,No
I-2007090844182,TRAVEL,No
I-2007090944533,TRAVEL,No
I-2007091044791,TRAVEL,No
I-2007091044973,TRAVEL,No
I-2007091045034,TRAVEL,No
I-2007091045087,TRAVEL,No
I-2007091045283,TRAVEL,No
I-2007091045304,TRAVEL,No
I-2007091045550,TRAVEL,No
I-2007091045707,TRAVEL,No
I-2007091145994,TRAVEL,No
I-2007091146045,TRAVEL,No
I-2007091146351,TRAVEL,No
I-2007091146531,TRAVEL,No
I-2007091146562,TRAVEL,No
I-2007091146590,TRAVEL,No
I-2007091146647,TRAVEL,No
I-2007091146705,TRAVEL,No
I-2007091146725,TRAVEL,No
I-2007091146774,TRAVEL,No
I-2007091146852,TRAVEL,No
I-2007091147108,TRAVEL,No
I-2007091247398,TRAVEL,No
I-2007091247509,TRAVEL,No
I-2007091247510,TRAVEL,No
I-2007091247602,TRAVEL,No
I-2007091247717,TRAVEL,No
I-2007091247771,TRAVEL,No
I-2007091248002,TRAVEL,No
I-2007091248140,TRAVEL,No
I-2007091348571,TRAVEL,No
I-2007091348599,TRAVEL,No
I-2007091348843,TRAVEL,No
I-2007091348918,TRAVEL,No
I-2007091348933,TRAVEL,No
I-2007091348945,TRAVEL,No
I-2007091349060,TRAVEL,No
I-2007091349083,TRAVEL,No
I-2007091349093,TRAVEL,No
I-2007091349105,TRAVEL,No
I-2007091349115,TRAVEL,No
I-2007091349120,TRAVEL,No
I-2007091349291,TRAVEL,No
I-2007091349361,TRAVEL,No
I-2007091349411,TRAVEL,No
I-2007091349661,TRAVEL,No
I-2007091349737,TRAVEL,No
I-2007091450054,TRAVEL,No
I-2007091450101,TRAVEL,No
I-2007091450152,TRAVEL,No
I-2007091450224,TRAVEL,No
I-2007091450232,TRAVEL,No
I-2007091450274,TRAVEL,No
I-2007091450396,TRAVEL,No
I-2007091450403,TRAVEL,No
I-2007091450503,TRAVEL,No
I-2007091450557,TRAVEL,No
I-2007091450641,TRAVEL,No
I-2007091450780,TRAVEL,No
I-2007091550963,TRAVEL,No
I-2007091551256,TRAVEL,No
I-2007091551325,TRAVEL,No
I-2007091551466,TRAVEL,No
I-2007091551533,TRAVEL,No
I-2007091551538,TRAVEL,No
I-2007091751808,TRAVEL,No
I-2007091751937,TRAVEL,No
I-2007091751950,TRAVEL,No
I-2007091751987,TRAVEL,No
I-2007091751999,TRAVEL,No
I-2007091752025,TRAVEL,No
I-2007091752030,TRAVEL,No
I-2007091752043,TRAVEL,No
I-2007091752052,TRAVEL,No
I-2007091752136,TRAVEL,No
I-2007091752177,TRAVEL,No
I-2007091752191,TRAVEL,No
I-2007091752351,TRAVEL,No
I-2007091752452,TRAVEL,No
I-2007091752461,TRAVEL,No
I-2007091752487,TRAVEL,No
I-2007091752508,TRAVEL,No
I-2007091752567,TRAVEL,No
I-2007091752600,TRAVEL,No
I-2007091752636,TRAVEL,No
I-2007091752666,TRAVEL,No
I-2007091752764,TRAVEL,No
I-2007091752778,TRAVEL,No
